"","RIVTYPE","tot_leng18","B18","C18","A18","D18","F18","DDef18","E18","tot_pa18","B","C","A","D","F","DDef","E","tot_pa24","prp_pa18","prp_pa18_ab","prp_pa18_model","EPL18_all","EPL18_ab","EPL18_model","EPL18_wp_ab_model","prp_pa24","prp_pa24_ab","prp_pa24_model","EPL24_all","EPL24_ab","EPL24_model","EPL24_wp_ab_model","zone"
"44","15_P_M",653748.5561604,107218.722175581,9624.65211128754,109217.621487496,3030.04419728396,0,0,0,229091.039971649,105714.283637576,22305.0749100239,109024.354271281,5304.01193115302,71.5528030709217,0,0,242419.277553105,0.350426838901409,0.331069708106513,0.336876847344982,"WP","WP","WP","WP",0.370814245429288,0.328472829324567,0.341153364148764,"WP","WP","WP","WP","Mountain stream"
"45","15_P_U",2310447.57104808,148529.894332418,57257.0535965952,75738.2668725536,9082.43694506593,2530.85525365232,0,0,293138.507000285,144056.143458158,94891.0452973685,76118.77246231,21158.0727350209,841.105889169717,0,0,337065.139842027,0.12687520403993,0.0970669769854321,0.105790365882208,"PP","PP","PP","PP",0.145887378733777,0.0952953525885856,0.110400151518432,"PP","PP","PP","PP","Upper foothill"
"46","16_N_L",40072.6925801995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NP","NP","NP","NP",0,0,0,"NP","NP","NP","NP","Lower foothill"
"47","16_N_M",56406.67558181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NP","NP","NP","NP",0,0,0,"NP","NP","NP","NP","Mountain stream"
"48","16_N_U",205624.880755142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NP","NP","NP","NP",0,0,0,"NP","NP","NP","NP","Upper foothill"
"49","16_P_F",417042.61666961,0,8356.73965454224,0,0,9380.07314012908,0,0,17736.8127946713,0,8021.98915832426,0,5024.78706628252,4690.03657006454,0,0,17736.8127946713,0.0425299767594801,0,0.00826061671559289,"PP","NP","NP","NP",0.0425299767594801,0,0.0105098048717185,"PP","NP","NP","NP","Lowland river"
"50","16_P_L",4075777.5232424,3995.20818816359,49203.0601728848,8219.03508935848,1296.1661758661,27523.2311176062,0,0,90236.7007438792,3995.20818816359,70922.6465225273,8219.03508935848,1296.1661758661,10996.6975051204,0,0,95429.7534810358,0.0221397513061737,0.00299678851651483,0.00738910161856664,"PP","NP","NP","NP",0.0234138769687112,0.00299678851651483,0.00858230279697035,"PP","NP","NP","NP","Lower foothill"
"51","16_P_M",732780.409567114,17894.2307527949,17300.649749701,2441.68129295027,1638.9287641591,143.28827717507,0,2349.20069197713,41767.9795287575,17894.2307527949,16402.1158068748,2441.68129295027,4161.913975343,143.28827717507,0,2349.20069197713,43392.4307971152,0.0569993124590103,0.0277517135832799,0.0358457106029015,"PP","PP","PP","PP",0.0592161447421186,0.0277517135832799,0.036510760287834,"PP","PP","PP","PP","Mountain stream"
"52","16_P_U",6628821.18171514,26126.9967458943,57833.5027180007,16614.1150687522,590.850999471363,11553.7887454915,0,2136.00990559334,114855.264183203,29138.3723552517,70539.4075112976,16614.1150687522,4294.88560077799,1125.18712229883,0,2136.00990559334,123847.977563972,0.0173266499479604,0.00644776961740092,0.00929839500951036,"PP","NP","NP","NP",0.0186832581795376,0.00690205485557628,0.0103380213739126,"PP","NP","NP","NP","Upper foothill"
"53","17_N_M",1950.64528383367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NP","NP","NP","NP",0,0,0,"NP","NP","NP","NP","Mountain stream"
"54","17_N_U",2095.6438150844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NP","NP","NP","NP",0,0,0,"NP","NP","NP","NP","Upper foothill"
"55","17_P_F",36610.4041393743,1988.34865792139,0,0,0,0,0,200.666154919228,2189.01481284061,1988.34865792139,0,0,1871.7380835254,0,0,200.666154919228,4060.75289636601,0.059792151010055,0.0543110272793445,0.0548591396524156,"PP","PP","PP","PP",0.110918002459271,0.0543110272793445,0.0701968950871802,"PP","PP","PP","PP","Lowland river"
"56","17_P_L",1461003.31661882,13857.094044579,169.082815339289,3709.31641584682,31233.1034933954,0,0,0,48968.5967691605,9876.66119214252,37893.5414684857,3709.31641584682,9092.24692301193,0,0,5405.04645298096,65976.8124524679,0.033517101715065,0.0120235253819132,0.0184715982818587,"PP","NP","PP","PP",0.0451585644618227,0.00929907376215349,0.0193170121174338,"PP","NP","PP","PP","Lower foothill"
"57","17_P_M",111164.858167816,227.317855803239,259.880319815294,0,2461.66274983509,0,0,0,2948.86092545362,227.317855803239,259.880319815294,0,2461.66274983509,0,0,0,2948.86092545362,0.0265269166358489,0.00204487154978488,0.00938948507560409,"PP","NP","NP","NP",0.0265269166358489,0.00204487154978488,0.00938948507560409,"PP","NP","NP","NP","Mountain stream"
"58","17_P_U",1994900.81687793,22474.3724848401,11799.5670569328,0,7034.65533180354,0,0,2127.48632649278,43436.0812000692,15537.5671568505,21919.9441674123,6936.80532798957,7903.48145746963,0,0,10314.8066604602,62612.6047701822,0.0217735542702558,0.0112659097107459,0.0142049106373414,"PP","NP","NP","NP",0.031386324693662,0.0112659097107459,0.0162679169629798,"PP","NP","PP","PP","Upper foothill"
"59","18_N_F",8077.42471529578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NP","NP","NP","NP",0,0,0,"NP","NP","NP","NP","Lowland river"
"60","18_N_L",1633782.45699906,34319.4828594738,52749.615169662,0,5260.31266410985,10476.0644956946,0,0,102805.47518894,7000.4633613673,74673.2764261541,0,17291.4175413611,3840.31786005769,0,0,102805.47518894,0.0629248249964527,0.0210061521425025,0.0322993232257514,"PP","PP","PP","PP",0.0629248249964527,0.00428481976371922,0.0214067075991671,"PP","NP","PP","PP","Lower foothill"
"61","18_N_M",624191.606392944,62513.3512789373,60991.2464970622,5951.7446591418,5799.26194209122,843.067852887003,0,0,136098.67223012,49816.4248034426,75973.5687094472,1226.84702922708,8562.20965456296,519.622033439634,0,0,136098.67223012,0.218039894859531,0.10968602467073,0.141922054618829,"MP","PP","PP","PP",0.218039894859531,0.0817750051584909,0.122487977669289,"MP","PP","PP","PP","Mountain stream"
"62","18_N_U",5850307.69968309,419555.78108946,512234.81835633,4734.31374466613,72812.2797184201,27939.5139304335,0,0,1037276.70683931,263272.790418298,642725.784937926,0,118352.665602583,12925.4658805025,0,0,1037276.70683931,0.177302931757846,0.0725244066832775,0.103002817387235,"MP","PP","PP","PP",0.177302931757846,0.0450015287969484,0.0842500766575407,"MP","PP","PP","PP","Upper foothill"
"63","18_P_F",15011.8238872434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NP","NP","NP","NP",0,0,0,"NP","NP","NP","NP","Lowland river"
